timestamp,temperature,humidity,co2,ammonia,temperature_risk,temperature_level,humidity_risk,humidity_level,co2_risk,co2_level,ammonia_risk,ammonia_level,composite_risk,risk_level,persistence,adjusted_risk
2024-01-15 00:00:00,20.17,64.62,642.5,1.74,0.06916666666666653,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.017291666666666632,Normal,0.0,0.017291666666666632
2024-01-15 00:01:00,19.79,68.41,591.3,1.05,0.1008333333333334,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.02520833333333335,Normal,0.0,0.02520833333333335
2024-01-15 00:02:00,19.42,65.72,599.8,1.32,0.13166666666666652,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03291666666666663,Normal,0.0,0.03291666666666663
2024-01-15 00:03:00,19.44,63.15,570.2,0.23,0.1299999999999999,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03249999999999997,Normal,0.0,0.03249999999999997
2024-01-15 00:04:00,19.87,65.12,636.4,1.15,0.09416666666666658,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.023541666666666645,Normal,0.0,0.023541666666666645
2024-01-15 00:05:00,19.96,66.25,668.8,0.76,0.0866666666666666,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.02166666666666665,Normal,0.0,0.02166666666666665
2024-01-15 00:06:00,18.45,65.78,605.6,1.71,0.21250000000000005,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.05312500000000001,Normal,0.0,0.05312500000000001
2024-01-15 00:07:00,18.97,68.86,612.9,0.45,0.16916666666666677,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.04229166666666669,Normal,0.0,0.04229166666666669
2024-01-15 00:08:00,19.69,67.83,602.0,1.23,0.10916666666666656,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.02729166666666664,Normal,0.0,0.02729166666666664
2024-01-15 00:09:00,19.54,63.63,592.9,0.71,0.12166666666666674,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.030416666666666686,Normal,0.0,0.030416666666666686
2024-01-15 00:10:00,19.92,66.18,552.6,1.08,0.08999999999999986,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.022499999999999964,Normal,0.0,0.022499999999999964
2024-01-15 00:11:00,20.15,67.4,588.5,0.57,0.07083333333333346,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.017708333333333364,Normal,0.0,0.017708333333333364
2024-01-15 00:12:00,18.9,65.2,606.0,1.46,0.17500000000000013,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.04375000000000003,Normal,0.0,0.04375000000000003
2024-01-15 00:13:00,19.39,65.15,618.5,0.36,0.13416666666666663,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03354166666666666,Normal,0.0,0.03354166666666666
2024-01-15 00:14:00,19.98,62.42,596.7,0.75,0.08499999999999996,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.02124999999999999,Normal,0.0,0.02124999999999999
2024-01-15 00:15:00,19.85,68.56,642.1,1.82,0.09583333333333321,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.023958333333333304,Normal,0.0,0.023958333333333304
2024-01-15 00:16:00,19.34,66.36,636.8,1.3,0.13833333333333334,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.034583333333333334,Normal,0.0,0.034583333333333334
2024-01-15 00:17:00,19.41,63.39,608.5,1.21,0.13249999999999998,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.033124999999999995,Normal,0.0,0.033124999999999995
2024-01-15 00:18:00,19.89,65.31,605.7,0.26,0.09249999999999996,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.02312499999999999,Normal,0.0,0.02312499999999999
2024-01-15 00:19:00,19.21,66.08,622.8,1.19,0.1491666666666666,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03729166666666665,Normal,0.0,0.03729166666666665
2024-01-15 00:20:00,19.6,65.45,567.3,1.32,0.11666666666666654,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.029166666666666636,Normal,0.0,0.029166666666666636
2024-01-15 00:21:00,20.08,65.64,584.8,0.34,0.07666666666666681,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.019166666666666703,Normal,0.0,0.019166666666666703
2024-01-15 00:22:00,18.92,69.24,684.6,0.41,0.1733333333333332,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.0433333333333333,Normal,0.0,0.0433333333333333
2024-01-15 00:23:00,18.93,65.86,606.2,1.73,0.17250000000000001,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.043125000000000004,Normal,0.0,0.043125000000000004
2024-01-15 00:24:00,19.92,65.44,590.0,1.18,0.08999999999999986,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.022499999999999964,Normal,0.0,0.022499999999999964
2024-01-15 00:25:00,19.17,65.5,579.6,0.39,0.15249999999999986,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.038124999999999964,Normal,0.0,0.038124999999999964
2024-01-15 00:26:00,19.38,65.45,587.9,1.43,0.1350000000000001,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03375000000000002,Normal,0.0,0.03375000000000002
2024-01-15 00:27:00,18.91,65.51,625.2,0.96,0.17416666666666666,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.043541666666666666,Normal,0.0,0.043541666666666666
2024-01-15 00:28:00,19.39,67.98,585.6,0.76,0.13416666666666663,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03354166666666666,Normal,0.0,0.03354166666666666
2024-01-15 00:29:00,19.78,64.96,625.4,0.54,0.10166666666666657,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.025416666666666643,Normal,0.0,0.025416666666666643
2024-01-15 00:30:00,19.81,64.2,627.5,1.79,0.09916666666666678,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.024791666666666694,Normal,0.0,0.024791666666666694
2024-01-15 00:31:00,19.83,64.69,609.1,0.75,0.09750000000000014,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.024375000000000036,Normal,0.0,0.024375000000000036
2024-01-15 00:32:00,18.96,66.39,611.4,0.7,0.16999999999999993,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.04249999999999998,Normal,0.0,0.04249999999999998
2024-01-15 00:33:00,19.36,65.1,612.7,0.95,0.13666666666666671,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03416666666666668,Normal,0.0,0.03416666666666668
2024-01-15 00:34:00,19.26,64.45,615.5,1.63,0.14499999999999988,Warning,0.0,Normal,0.0,Normal,0.0,Normal,0.03624999999999997,Normal,0.0,0.03624999999999997
